timestamp,balance,equity,drawdown
2025-06-09 05:15:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 05:30:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 05:45:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 06:00:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 06:15:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 06:30:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 06:45:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 07:00:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 07:15:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 07:30:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 07:45:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 08:00:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 08:15:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 08:30:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 08:45:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 09:00:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 09:15:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 09:30:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 09:45:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 10:00:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 10:15:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 10:30:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 10:45:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 11:00:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 11:15:00+00:00,1000000.0,1000000.0,0.0
2025-06-09 11:30:00+00:00,995588.7329531094,183737610.020723,0.0
2025-06-09 11:45:00+00:00,995588.7329531094,68515166.08262317,0.6271032039934794
2025-06-09 12:00:00+00:00,15555294.015590508,15555294.015590508,0.9153396301724176
2025-06-09 12:15:00+00:00,15555294.015590508,15555294.015590508,0.9153396301724176
2025-06-09 12:30:00+00:00,15555294.015590508,15555294.015590508,0.9153396301724176
2025-06-09 12:45:00+00:00,15555294.015590508,15555294.015590508,0.9153396301724176
2025-06-09 13:00:00+00:00,15555294.015590508,15555294.015590508,0.9153396301724176
2025-06-09 13:15:00+00:00,15555294.015590508,15555294.015590508,0.9153396301724176
2025-06-09 13:30:00+00:00,15555294.015590508,15555294.015590508,0.9153396301724176
